"Stage1Path","ConsolidatedPath","Stage1SHA256","ConsolidatedSHA256","Status","Explanation"
"00_Docs\PROJECT_PLAN.md","00_Docs\PROJECT_PLAN.md","EE634CF620E3F7254B129AA1EAFD9B3118080EA1FF349C274AC2E9156665EAE2","EE634CF620E3F7254B129AA1EAFD9B3118080EA1FF349C274AC2E9156665EAE2","MATCH",""
"00_Docs\PROJECT_STATUS_REPORT.md","00_Docs\PROJECT_STATUS_REPORT.md","FD8CC79A12F81937AE754BF7C83028161DE625F83123096A1BCB5288579C2D8D","FD8CC79A12F81937AE754BF7C83028161DE625F83123096A1BCB5288579C2D8D","MATCH",""
"00_Docs\Pump_Calibration.md","00_Docs\Pump_Calibration.md","CEF3D80D7980F343E796C4E47B40D61F94F00414D639ED47D040F2560C8A49C3","CEF3D80D7980F343E796C4E47B40D61F94F00414D639ED47D040F2560C8A49C3","MATCH",""
"00_Docs\Telemetry_Identity_Shadow_Mode.md","00_Docs\Telemetry_Identity_Shadow_Mode.md","0B020EAC2174E2EDF2969CF71F16A242685FE71154AAD30FAE5BCD9F6A4C27DD","0B020EAC2174E2EDF2969CF71F16A242685FE71154AAD30FAE5BCD9F6A4C27DD","MATCH",""
"00_Docs\Wiring_Checklist.md","00_Docs\Wiring_Checklist.md","468C0C88695AE92B9FEE3A728E6058018C1889563E83E9BF3CD85BCA140E8642","468C0C88695AE92B9FEE3A728E6058018C1889563E83E9BF3CD85BCA140E8642","MATCH",""
"01_ESP32_Test_Sketches\T01_Blink_Serial\T01_Blink_Serial.ino","01_ESP32_Test_Sketches\T01_Blink_Serial\T01_Blink_Serial.ino","4DBB0C2556B96387EBA1F9DC14A5906940B8AF712EF2BBA86910AC0DF2DD56A9","4DBB0C2556B96387EBA1F9DC14A5906940B8AF712EF2BBA86910AC0DF2DD56A9","MATCH",""
"01_ESP32_Test_Sketches\T02_TDS_SEN0244_Test\T02_TDS_SEN0244_Test.ino","01_ESP32_Test_Sketches\T02_TDS_SEN0244_Test\T02_TDS_SEN0244_Test.ino","99D8F184E8241DAF2EC144FFEDB5D882BDD764A611CD6AF66186E0790D573BD8","99D8F184E8241DAF2EC144FFEDB5D882BDD764A611CD6AF66186E0790D573BD8","MATCH",""
"01_ESP32_Test_Sketches\T03_DS18B20_Test\T03_DS18B20_Test.ino","01_ESP32_Test_Sketches\T03_DS18B20_Test\T03_DS18B20_Test.ino","8B8BBFA7E14431B5D86473A5984B272C5259DED467A6829A8FF041A21A527448","8B8BBFA7E14431B5D86473A5984B272C5259DED467A6829A8FF041A21A527448","MATCH",""
"01_ESP32_Test_Sketches\T04_Water_Level_Float_Test\T04_Water_Level_Float_Test.ino","01_ESP32_Test_Sketches\T04_Water_Level_Float_Test\T04_Water_Level_Float_Test.ino","1EC62F615A8AE082EDA037DC036633977B751F7E0C470D90120D87BD11DC6EC8","1EC62F615A8AE082EDA037DC036633977B751F7E0C470D90120D87BD11DC6EC8","MATCH",""
"01_ESP32_Test_Sketches\T05_MOSFET_4CH_Test\T05_MOSFET_4CH_Test.ino","01_ESP32_Test_Sketches\T05_MOSFET_4CH_Test\T05_MOSFET_4CH_Test.ino","88C2792CA4B021E438ED17522D37F5464F2CBB90678D0A57E3A2744F6AD20496","88C2792CA4B021E438ED17522D37F5464F2CBB90678D0A57E3A2744F6AD20496","MATCH",""
"01_ESP32_Test_Sketches\T06_Pump_Main_Test\T06_Pump_Main_Test.ino","01_ESP32_Test_Sketches\T06_Pump_Main_Test\T06_Pump_Main_Test.ino","513FC2855A4769D7E0246DAC1C5112371C2D93E72721F91229A26AF6094A0F8B","513FC2855A4769D7E0246DAC1C5112371C2D93E72721F91229A26AF6094A0F8B","MATCH",""
"01_ESP32_Test_Sketches\T07_Pump_A_B_Test\T07_Pump_A_B_Test.ino","01_ESP32_Test_Sketches\T07_Pump_A_B_Test\T07_Pump_A_B_Test.ino","A2476AE79A3136131AE7EAEFAEDF60EE5252D0B1D54F441F87663D073074D8BB","A2476AE79A3136131AE7EAEFAEDF60EE5252D0B1D54F441F87663D073074D8BB","MATCH",""
"01_ESP32_Test_Sketches\T08_All_Hardware_Test\T08_All_Hardware_Test.ino","01_ESP32_Test_Sketches\T08_All_Hardware_Test\T08_All_Hardware_Test.ino","A7B8DB2AA5B4EB871A4CD9854C32EBBA8CE7BEBCB72ABADCEFC700E34834F341","A7B8DB2AA5B4EB871A4CD9854C32EBBA8CE7BEBCB72ABADCEFC700E34834F341","MATCH",""
"02_ESP32_Main_Firmware\Hydroponic_Device001\ActuatorSafety.h","02_ESP32_Main_Firmware\Hydroponic_Device001\ActuatorSafety.h","FEF0AE966FD0003441633573FA2EC625C2459FEF73EF64651806AA1C6A173688","FEF0AE966FD0003441633573FA2EC625C2459FEF73EF64651806AA1C6A173688","MATCH",""
"02_ESP32_Main_Firmware\Hydroponic_Device001\BuildProfile.h","02_ESP32_Main_Firmware\Hydroponic_Device001\BuildProfile.h","3F57C6CE61360156956189C1C4D949F4442DD9C31AAD80C6CF3A4411CED86CE3","3F57C6CE61360156956189C1C4D949F4442DD9C31AAD80C6CF3A4411CED86CE3","MATCH",""
"02_ESP32_Main_Firmware\Hydroponic_Device001\Config.h","02_ESP32_Main_Firmware\Hydroponic_Device001\Config.h","22C2A93F4ECC08BF962BD2BEE07BC708495A99A7CD0807BFB0C28E16AF4AD6FC","09589F3789150E1F1C266B5405260362F1F1CF37DE01620F96093992736178B8","EXPLAINED_CHANGE","Marks Stage 1 alert topic RESERVED/UNUSED without behavior change."
"02_ESP32_Main_Firmware\Hydroponic_Device001\Hydroponic_Device001.ino","02_ESP32_Main_Firmware\Hydroponic_Device001\Hydroponic_Device001.ino","11BFCCE0ACC536A2D4506EA43060D02133772975785A136BD3C9B696087A304C","11BFCCE0ACC536A2D4506EA43060D02133772975785A136BD3C9B696087A304C","MATCH",""
"02_ESP32_Main_Firmware\Hydroponic_Device001\MqttService.cpp","02_ESP32_Main_Firmware\Hydroponic_Device001\MqttService.cpp","A351B05702F6CB219AD5B89E29005D928FB7CFCE04D628E32A2DCA7527F96161","A351B05702F6CB219AD5B89E29005D928FB7CFCE04D628E32A2DCA7527F96161","MATCH",""
"02_ESP32_Main_Firmware\Hydroponic_Device001\MqttService.h","02_ESP32_Main_Firmware\Hydroponic_Device001\MqttService.h","51D157967BA38D8B9C9024E834BE12B2CDA96B03CD4CA2895A1143A8AED7A074","51D157967BA38D8B9C9024E834BE12B2CDA96B03CD4CA2895A1143A8AED7A074","MATCH",""
"02_ESP32_Main_Firmware\Hydroponic_Device001\PayloadBuilder.cpp","02_ESP32_Main_Firmware\Hydroponic_Device001\PayloadBuilder.cpp","8C9E67312BF2E9BEB9811EE11BBC3D6C918C0E6A2EAEEE1800146989B651A984","8C9E67312BF2E9BEB9811EE11BBC3D6C918C0E6A2EAEEE1800146989B651A984","MATCH",""
"02_ESP32_Main_Firmware\Hydroponic_Device001\PayloadBuilder.h","02_ESP32_Main_Firmware\Hydroponic_Device001\PayloadBuilder.h","45D95972695910141E9F7EECF4D59638AD6681BD5452746DC261AEFDB4EDA17E","45D95972695910141E9F7EECF4D59638AD6681BD5452746DC261AEFDB4EDA17E","MATCH",""
"02_ESP32_Main_Firmware\Hydroponic_Device001\Pumps.cpp","02_ESP32_Main_Firmware\Hydroponic_Device001\Pumps.cpp","E4920CB3326DBED6C66444E415D9AD43AC394E476B266F95A65B0CB8736D5CD3","E4920CB3326DBED6C66444E415D9AD43AC394E476B266F95A65B0CB8736D5CD3","MATCH",""
"02_ESP32_Main_Firmware\Hydroponic_Device001\Pumps.h","02_ESP32_Main_Firmware\Hydroponic_Device001\Pumps.h","D90CB5C07214637EB5D567321E0D2F6CDAFB1149B53F3C08553AD1F43886B8F8","D90CB5C07214637EB5D567321E0D2F6CDAFB1149B53F3C08553AD1F43886B8F8","MATCH",""
"02_ESP32_Main_Firmware\Hydroponic_Device001\Secrets.h.example","02_ESP32_Main_Firmware\Hydroponic_Device001\Secrets.h.example","9F924ADB3E3C413A4E904CFEACA0E6B12BD44FAE82892238C754CF3370E72746","9F924ADB3E3C413A4E904CFEACA0E6B12BD44FAE82892238C754CF3370E72746","MATCH",""
"02_ESP32_Main_Firmware\Hydroponic_Device001\SecretsStage1.h.example","02_ESP32_Main_Firmware\Hydroponic_Device001\SecretsStage1.h.example","F48ADD9EDE1895D4232C1A54DB0E8AF1986FB174A965EABC32C0A4EF514CCBE4","F48ADD9EDE1895D4232C1A54DB0E8AF1986FB174A965EABC32C0A4EF514CCBE4","MATCH",""
"02_ESP32_Main_Firmware\Hydroponic_Device001\Sensors.cpp","02_ESP32_Main_Firmware\Hydroponic_Device001\Sensors.cpp","67A312838D90C18A405007E9304EFB34FB97AD5C7DA5975E5FD4AE1DBF006A30","67A312838D90C18A405007E9304EFB34FB97AD5C7DA5975E5FD4AE1DBF006A30","MATCH",""
"02_ESP32_Main_Firmware\Hydroponic_Device001\Sensors.h","02_ESP32_Main_Firmware\Hydroponic_Device001\Sensors.h","D633339E34E947574976A5FD4B4A174DB0ACA0389B5F37C6290F3D9D99C3DAF1","D633339E34E947574976A5FD4B4A174DB0ACA0389B5F37C6290F3D9D99C3DAF1","MATCH",""
"02_ESP32_Main_Firmware\Hydroponic_Device001\TelemetryIdentity.cpp","02_ESP32_Main_Firmware\Hydroponic_Device001\TelemetryIdentity.cpp","BE2651EE8C950D9EAF6514FD6ECEFE4A26699B347232D86D14D5C9066B2799C9","BE2651EE8C950D9EAF6514FD6ECEFE4A26699B347232D86D14D5C9066B2799C9","MATCH",""
"02_ESP32_Main_Firmware\Hydroponic_Device001\TelemetryIdentity.h","02_ESP32_Main_Firmware\Hydroponic_Device001\TelemetryIdentity.h","6FB7B85FCB3AC66E1F82BF88B021A384A29B81072469DDB3E76043B65C3AC365","6FB7B85FCB3AC66E1F82BF88B021A384A29B81072469DDB3E76043B65C3AC365","MATCH",""
"02_ESP32_Main_Firmware\Hydroponic_Device001\TelemetryPublishState.h","02_ESP32_Main_Firmware\Hydroponic_Device001\TelemetryPublishState.h","51DCFDCB23495800B0998F362B38814DA4AEED5A059D7B2D84EECF4CB62E5EBE","51DCFDCB23495800B0998F362B38814DA4AEED5A059D7B2D84EECF4CB62E5EBE","MATCH",""
"02_ESP32_Main_Firmware\Hydroponic_Device001\TelemetrySequence.h","02_ESP32_Main_Firmware\Hydroponic_Device001\TelemetrySequence.h","8DFB502DB6E99107F62FE5FE5CB4A9513E167961E630F99F249D64C9ACD9CCB9","8DFB502DB6E99107F62FE5FE5CB4A9513E167961E630F99F249D64C9ACD9CCB9","MATCH",""
"03_Edge_Server\mqtt_backend\.env.example","03_Edge_Server\mqtt_backend\.env.example","D8BFAB953504CAC7BB93DCA1684E6862D052AD874C71CCF0810873743A8D8391","D8BFAB953504CAC7BB93DCA1684E6862D052AD874C71CCF0810873743A8D8391","MATCH",""
"03_Edge_Server\mqtt_backend\package.json","03_Edge_Server\mqtt_backend\package.json","DB66DFD64350B6D148281DAC7F7F83E7433B5910AB54BC585DBF85F43C255529","DB66DFD64350B6D148281DAC7F7F83E7433B5910AB54BC585DBF85F43C255529","MATCH",""
"03_Edge_Server\mqtt_backend\package-lock.json","03_Edge_Server\mqtt_backend\package-lock.json","F8CD984BD4AD8DE411132064FF00ED0ACC4C8D4B8BB9E3531323BCFA8D0D7E63","F8CD984BD4AD8DE411132064FF00ED0ACC4C8D4B8BB9E3531323BCFA8D0D7E63","MATCH",""
"03_Edge_Server\mqtt_backend\public\app.js","03_Edge_Server\mqtt_backend\public\app.js","890C4C4E156B5CD71BCF8711329449E2ADC4C6DB3CC74D8A3E3CAA82B1377740","890C4C4E156B5CD71BCF8711329449E2ADC4C6DB3CC74D8A3E3CAA82B1377740","MATCH",""
"03_Edge_Server\mqtt_backend\public\index.html","03_Edge_Server\mqtt_backend\public\index.html","F3FAD8E4CF20D52A67B8A2404A3755B06FCC595E7FECDB2866E8D613662E9137","F3FAD8E4CF20D52A67B8A2404A3755B06FCC595E7FECDB2866E8D613662E9137","MATCH",""
"03_Edge_Server\mqtt_backend\public\styles.css","03_Edge_Server\mqtt_backend\public\styles.css","9AC434109D9A4D8EE945A9E5C802E481FC673CE04ADFBF43D0EDF3119DEB344C","9AC434109D9A4D8EE945A9E5C802E481FC673CE04ADFBF43D0EDF3119DEB344C","MATCH",""
"03_Edge_Server\mqtt_backend\README.md","03_Edge_Server\mqtt_backend\README.md","54441301820FA8540DB8DDFA3FD640A6A40C79964B269918DE001838F2617FCD","54441301820FA8540DB8DDFA3FD640A6A40C79964B269918DE001838F2617FCD","MATCH",""
"03_Edge_Server\mqtt_backend\scripts\migrateLegacyTdsCalibrations.js","03_Edge_Server\mqtt_backend\scripts\migrateLegacyTdsCalibrations.js","F69DD0618E67B9CFCF8EC5E8B5D6A3429C9BF61CE49B875214C7FB9047649F75","F69DD0618E67B9CFCF8EC5E8B5D6A3429C9BF61CE49B875214C7FB9047649F75","MATCH",""
"03_Edge_Server\mqtt_backend\src\config\phase22Config.js","03_Edge_Server\mqtt_backend\src\config\phase22Config.js","26BA55A693FEF9F48EFE5AE1F315B7A8093D098E6111AA080374B6039049FD4C","26BA55A693FEF9F48EFE5AE1F315B7A8093D098E6111AA080374B6039049FD4C","MATCH",""
"03_Edge_Server\mqtt_backend\src\config\tdsQualityConfig.js","03_Edge_Server\mqtt_backend\src\config\tdsQualityConfig.js","D080F4AB45FF37407C44FBE862C9A2BCCF4F99AC98F83AFB510BB721B880C765","D080F4AB45FF37407C44FBE862C9A2BCCF4F99AC98F83AFB510BB721B880C765","MATCH",""
"03_Edge_Server\mqtt_backend\src\httpServer.js","03_Edge_Server\mqtt_backend\src\httpServer.js","6705B7B0E1317A2EB235FA1DD9625EBA4BEA217844C6BBAD84D8D7EF48109144","6705B7B0E1317A2EB235FA1DD9625EBA4BEA217844C6BBAD84D8D7EF48109144","MATCH",""
"03_Edge_Server\mqtt_backend\src\index.js","03_Edge_Server\mqtt_backend\src\index.js","C1D7AAFB9B7467E4D595CDEFD02E6321E9F6E65E8B203608198BA8E68B626DAC","C1D7AAFB9B7467E4D595CDEFD02E6321E9F6E65E8B203608198BA8E68B626DAC","MATCH",""
"03_Edge_Server\mqtt_backend\src\mongoClient.js","03_Edge_Server\mqtt_backend\src\mongoClient.js","B498939A5ADC66B88F59664ED42B0FC103432195C20CAC5B045937B5974C9BBF","B498939A5ADC66B88F59664ED42B0FC103432195C20CAC5B045937B5974C9BBF","MATCH",""
"03_Edge_Server\mqtt_backend\src\mqttClient.js","03_Edge_Server\mqtt_backend\src\mqttClient.js","6D038CE1E9DCAA70E483159593103738241AAE76A2D4E0A99B3EEB1536A18ADA","6D038CE1E9DCAA70E483159593103738241AAE76A2D4E0A99B3EEB1536A18ADA","MATCH",""
"03_Edge_Server\mqtt_backend\src\routes\deviceRoutes.js","03_Edge_Server\mqtt_backend\src\routes\deviceRoutes.js","11DCF6B7DC630479F3B1ECB8AC705A5B6AF1B3A0B1D27A21CC682C2E9C9B6A22","11DCF6B7DC630479F3B1ECB8AC705A5B6AF1B3A0B1D27A21CC682C2E9C9B6A22","MATCH",""
"03_Edge_Server\mqtt_backend\src\services\alertService.js","03_Edge_Server\mqtt_backend\src\services\alertService.js","C97B2176978630542D46F4CC66350C4B318F81F5AD23E6170802BCA821DD955F","C97B2176978630542D46F4CC66350C4B318F81F5AD23E6170802BCA821DD955F","MATCH",""
"03_Edge_Server\mqtt_backend\src\services\autoDosingEventService.js","03_Edge_Server\mqtt_backend\src\services\autoDosingEventService.js","C2678479B4EAB467481ED343CCF671A2686EC2A017AB54BC3B04DCBA83DA57D7","C2678479B4EAB467481ED343CCF671A2686EC2A017AB54BC3B04DCBA83DA57D7","MATCH",""
"03_Edge_Server\mqtt_backend\src\services\autoDosingReadinessService.js","03_Edge_Server\mqtt_backend\src\services\autoDosingReadinessService.js","3C4321B5E9E7A239229766B645C2B9959F7459392A2ABC9AF4C28A8D69BEFA84","3C4321B5E9E7A239229766B645C2B9959F7459392A2ABC9AF4C28A8D69BEFA84","MATCH",""
"03_Edge_Server\mqtt_backend\src\services\autoDosingService.js","03_Edge_Server\mqtt_backend\src\services\autoDosingService.js","9BD80FF77B08909CE42C685D2CA4725FA812DF3336244D234C681C25AE3CF1C7","9BD80FF77B08909CE42C685D2CA4725FA812DF3336244D234C681C25AE3CF1C7","MATCH",""
"03_Edge_Server\mqtt_backend\src\services\deviceQueryService.js","03_Edge_Server\mqtt_backend\src\services\deviceQueryService.js","12CB9B22D8B5621FD66CDE9F77F5CA90AF47482CDC6530B43ACE7205D1A284F3","12CB9B22D8B5621FD66CDE9F77F5CA90AF47482CDC6530B43ACE7205D1A284F3","MATCH",""
"03_Edge_Server\mqtt_backend\src\services\exportService.js","03_Edge_Server\mqtt_backend\src\services\exportService.js","B70B968CAEE34C784645A135965D1C0AAD6816CFC9F337D835546C0862E737C5","B70B968CAEE34C784645A135965D1C0AAD6816CFC9F337D835546C0862E737C5","MATCH",""
"03_Edge_Server\mqtt_backend\src\services\nutrientResponseService.js","03_Edge_Server\mqtt_backend\src\services\nutrientResponseService.js","204C7DC377DCDCB849B24C28D674C3FE1F1A949BBAADFF34EDDEE295E68E4DB3","204C7DC377DCDCB849B24C28D674C3FE1F1A949BBAADFF34EDDEE295E68E4DB3","MATCH",""
"03_Edge_Server\mqtt_backend\src\services\pumpCalibrationService.js","03_Edge_Server\mqtt_backend\src\services\pumpCalibrationService.js","07D83C84968AA1F6CD5412FF292BA3C52889DAB551AD45F3F6AFA080599D0987","07D83C84968AA1F6CD5412FF292BA3C52889DAB551AD45F3F6AFA080599D0987","MATCH",""
"03_Edge_Server\mqtt_backend\src\services\pumpCommandService.js","03_Edge_Server\mqtt_backend\src\services\pumpCommandService.js","B84D4C876F1D4BB14FC68DD82EE9C41E1E8645360E768A44BA7D05763BCBF653","B84D4C876F1D4BB14FC68DD82EE9C41E1E8645360E768A44BA7D05763BCBF653","MATCH",""
"03_Edge_Server\mqtt_backend\src\services\pumpLogService.js","03_Edge_Server\mqtt_backend\src\services\pumpLogService.js","57FC9C8598655212921F25CD22E0B354C454D4E8C9AFC6AD4534CA765330751D","57FC9C8598655212921F25CD22E0B354C454D4E8C9AFC6AD4534CA765330751D","MATCH",""
"03_Edge_Server\mqtt_backend\src\services\sensorLogService.js","03_Edge_Server\mqtt_backend\src\services\sensorLogService.js","34D248AE55A79EE2505E4863B03D84C434216BB5244A34A0667C5AFC5AE64A67","34D248AE55A79EE2505E4863B03D84C434216BB5244A34A0667C5AFC5AE64A67","MATCH",""
"03_Edge_Server\mqtt_backend\src\services\shadowDosingEngine.js","03_Edge_Server\mqtt_backend\src\services\shadowDosingEngine.js","A14BD4DCBAF1A9EAB7D4226922EF566B3EF440CC9B8425C9C7FFDA8B0B0E0DAE","A14BD4DCBAF1A9EAB7D4226922EF566B3EF440CC9B8425C9C7FFDA8B0B0E0DAE","MATCH",""
"03_Edge_Server\mqtt_backend\src\services\shadowDosingService.js","03_Edge_Server\mqtt_backend\src\services\shadowDosingService.js","8138C46184E48D911AA93777CAF8D7A50C9B2E5147B3D9D8530EB44877C7C055","8138C46184E48D911AA93777CAF8D7A50C9B2E5147B3D9D8530EB44877C7C055","MATCH",""
"03_Edge_Server\mqtt_backend\src\services\tdsCalibrationService.js","03_Edge_Server\mqtt_backend\src\services\tdsCalibrationService.js","70041A46B88828060446072CCC858ACC17CE988CD34883A066B12B2E4BD750A6","70041A46B88828060446072CCC858ACC17CE988CD34883A066B12B2E4BD750A6","MATCH",""
"03_Edge_Server\mqtt_backend\src\services\tdsQualityService.js","03_Edge_Server\mqtt_backend\src\services\tdsQualityService.js","7F70509F44BF5EE7B2516CD57663A46A4918317FC87474755F1C26C0472A6F6D","7F70509F44BF5EE7B2516CD57663A46A4918317FC87474755F1C26C0472A6F6D","MATCH",""
"03_Edge_Server\mqtt_backend\src\services\telemetryIdentityService.js","03_Edge_Server\mqtt_backend\src\services\telemetryIdentityService.js","2DF83BE7BB2CA8DC7B4CEFD404811A6178C1C62C86D8713A621319A7278D6F55","2DF83BE7BB2CA8DC7B4CEFD404811A6178C1C62C86D8713A621319A7278D6F55","MATCH",""
"03_Edge_Server\mqtt_backend\src\services\telemetryPipelineService.js","03_Edge_Server\mqtt_backend\src\services\telemetryPipelineService.js","A29FF8D6047F5074F89D385F4A5FA80EEC2B12897BD05AAFBFDCA6C411CBD077","A29FF8D6047F5074F89D385F4A5FA80EEC2B12897BD05AAFBFDCA6C411CBD077","MATCH",""
"03_Edge_Server\mqtt_backend\src\validators\autoDosingSettingsValidator.js","03_Edge_Server\mqtt_backend\src\validators\autoDosingSettingsValidator.js","77E0748EEAC7EEFE8083A07D79208F3F922D7EC6D132A83596D35FDD075850F6","77E0748EEAC7EEFE8083A07D79208F3F922D7EC6D132A83596D35FDD075850F6","MATCH",""
"03_Edge_Server\mqtt_backend\src\validators\nutrientResponseTestValidator.js","03_Edge_Server\mqtt_backend\src\validators\nutrientResponseTestValidator.js","97DA964F5923A9D8DD1EA6D6F7CA8E96764E1488AC136169E7391D0F5D786E35","97DA964F5923A9D8DD1EA6D6F7CA8E96764E1488AC136169E7391D0F5D786E35","MATCH",""
"03_Edge_Server\mqtt_backend\src\validators\pumpCalibrationValidator.js","03_Edge_Server\mqtt_backend\src\validators\pumpCalibrationValidator.js","65CDAD783EFDFA0F9B8E6CC88A2627F17A76D9684964D976F06AD0C1E10FC14F","65CDAD783EFDFA0F9B8E6CC88A2627F17A76D9684964D976F06AD0C1E10FC14F","MATCH",""
"03_Edge_Server\mqtt_backend\src\validators\pumpCommandValidator.js","03_Edge_Server\mqtt_backend\src\validators\pumpCommandValidator.js","70102D24B89F9A83564D08F08CCAC0364C922E629CBB9993B76F19D0742E5288","70102D24B89F9A83564D08F08CCAC0364C922E629CBB9993B76F19D0742E5288","MATCH",""
"03_Edge_Server\mqtt_backend\src\validators\sensorPayloadValidator.js","03_Edge_Server\mqtt_backend\src\validators\sensorPayloadValidator.js","4E46800CA418E49689057BC83D540B0788C0A37347FF8947D96EF0C55F21E92E","4E46800CA418E49689057BC83D540B0788C0A37347FF8947D96EF0C55F21E92E","MATCH",""
"03_Edge_Server\mqtt_backend\src\validators\tdsCalibrationSetValidator.js","03_Edge_Server\mqtt_backend\src\validators\tdsCalibrationSetValidator.js","D321879195A40C3838BCA515885E9C16ABDF51FAB6FB8F2DFA617BC4558C6CBC","D321879195A40C3838BCA515885E9C16ABDF51FAB6FB8F2DFA617BC4558C6CBC","MATCH",""
"03_Edge_Server\mqtt_backend\src\validators\tdsCalibrationValidator.js","03_Edge_Server\mqtt_backend\src\validators\tdsCalibrationValidator.js","3B58ED004B84369148A91592BE5A9FC58727CC8FB4132BF86615F25308BABCBA","3B58ED004B84369148A91592BE5A9FC58727CC8FB4132BF86615F25308BABCBA","MATCH",""
"03_Edge_Server\mqtt_backend\staging\.env.staging.example","03_Edge_Server\mqtt_backend\staging\.env.staging.example","E1868B9CA2A12142BECB38D6F9F0288766CBB0E03104B320A8BDDAC70DC33833","E1868B9CA2A12142BECB38D6F9F0288766CBB0E03104B320A8BDDAC70DC33833","MATCH",""
"03_Edge_Server\mqtt_backend\staging\Get-StagingStatus.ps1","03_Edge_Server\mqtt_backend\staging\Get-StagingStatus.ps1","A15AAFC96D2A06B38BB1FED8256B6339846E6F4A014045EA2C27582FAAAC0D3E","A15AAFC96D2A06B38BB1FED8256B6339846E6F4A014045EA2C27582FAAAC0D3E","MATCH",""
"03_Edge_Server\mqtt_backend\staging\mosquitto.stage0.conf","03_Edge_Server\mqtt_backend\staging\mosquitto.stage0.conf","222ABE58FE275AB78CD1E0C1233DD7A7C71F88B098919F557705815FB46FB85C","222ABE58FE275AB78CD1E0C1233DD7A7C71F88B098919F557705815FB46FB85C","MATCH",""
